[2019-08-24 11:34:51,134 | INFO] Receiver thread now running
[2019-08-24 11:37:34,797 | INFO] 77
[2019-08-24 11:37:34,803 | INFO] d1
[2019-08-24 11:37:35,515 | INFO] 08
[2019-08-24 11:37:35,527 | INFO] ae
[2019-08-24 11:37:36,246 | INFO] 77
[2019-08-24 11:37:36,263 | INFO] d1
[2019-08-24 11:37:36,970 | INFO] 08
[2019-08-24 11:37:36,987 | INFO] ae
[2019-08-24 11:37:37,711 | INFO] 77
[2019-08-24 11:37:37,736 | INFO] d1
[2019-08-24 11:37:38,422 | INFO] 08
[2019-08-24 11:37:38,441 | INFO] ae
[2019-08-24 11:37:39,146 | INFO] 77
[2019-08-24 11:37:39,157 | INFO] d1
[2019-08-24 11:37:39,872 | INFO] 08
[2019-08-24 11:37:39,884 | INFO] ae
[2019-08-24 11:37:40,596 | INFO] 77
[2019-08-24 11:37:40,608 | INFO] d1
[2019-08-24 11:37:41,331 | INFO] 08
[2019-08-24 11:37:41,342 | INFO] ae
[2019-08-24 11:37:42,050 | INFO] 77
[2019-08-24 11:37:42,055 | INFO] d1
[2019-08-24 11:37:42,771 | INFO] 08
[2019-08-24 11:37:42,783 | INFO] ae
[2019-08-24 11:37:43,500 | INFO] 77
[2019-08-24 11:37:43,512 | INFO] d1
[2019-08-24 11:37:44,226 | INFO] 08
[2019-08-24 11:37:44,238 | INFO] ae
[2019-08-24 11:37:44,948 | INFO] 77
[2019-08-24 11:37:44,960 | INFO] d1
[2019-08-24 11:37:45,671 | INFO] 08
[2019-08-24 11:37:45,683 | INFO] ae
[2019-08-24 11:37:46,403 | INFO] 77
[2019-08-24 11:37:46,420 | INFO] d1
[2019-08-24 11:37:47,128 | INFO] 08
[2019-08-24 11:37:47,139 | INFO] ae
[2019-08-24 11:37:47,848 | INFO] 77
[2019-08-24 11:37:47,860 | INFO] d1
[2019-08-24 11:37:48,576 | INFO] 08
[2019-08-24 11:37:48,588 | INFO] ae
[2019-08-24 11:37:49,301 | INFO] 77
[2019-08-24 11:37:49,313 | INFO] d1
[2019-08-24 11:37:50,041 | INFO] 08
[2019-08-24 11:37:50,053 | INFO] ae
[2019-08-24 11:37:50,753 | INFO] 77
[2019-08-24 11:37:50,771 | INFO] d1
[2019-08-24 11:37:51,474 | INFO] 08
[2019-08-24 11:37:51,492 | INFO] ae
[2019-08-24 11:37:52,201 | INFO] 77
[2019-08-24 11:37:52,218 | INFO] d1
[2019-08-24 11:37:52,930 | INFO] 08
[2019-08-24 11:37:52,936 | INFO] ae
[2019-08-24 11:37:53,655 | INFO] 77
[2019-08-24 11:37:53,678 | INFO] d1
[2019-08-24 11:37:54,377 | INFO] 08
[2019-08-24 11:37:54,396 | INFO] ae
[2019-08-24 11:37:55,110 | INFO] 77
[2019-08-24 11:37:55,132 | INFO] d1
[2019-08-24 11:37:55,829 | INFO] 08
[2019-08-24 11:37:55,841 | INFO] ae
[2019-08-24 11:37:56,554 | INFO] 77
[2019-08-24 11:37:56,566 | INFO] d1
[2019-08-24 11:37:57,283 | INFO] 08
[2019-08-24 11:37:57,294 | INFO] ae
[2019-08-24 11:37:58,004 | INFO] 77
[2019-08-24 11:37:58,018 | INFO] d1
[2019-08-24 11:37:58,729 | INFO] 08
